P/No,Watt,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Torque_division,shape_division
4681A20172Q,124,2235,5,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,2235,5,0.35,48.8,350,30,104,8,8~20,C
4681A20172Y,124,2640,5,0.35,43,320,30,104,8,8~20,C
EAU63483801,124,2588,5,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,2588,5,0.35,43,320,30,104,8,8~20,C
4681A20172H,124,2024,6,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,1949,6,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,1949,6,0.35,48.8,350,30,104,8,8~20,C
4681A20172S,124,2120,6,0.35,43,320,30,104,8,8~20,C
4681A20172X,124,2120,6,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,2293,6,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,2309,6,0.4,37.2,300,36,104,8,8~20,C
EAU62244101,250,1272,6,0.41,20.9,205,30.5,102,8,8~20,C
EAU62244102,250,1272,6,0.41,20.9,205,30.5,102,8,8~20,C
EAU63483801,124,2293,6,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,2293,6,0.35,43,320,30,104,8,8~20,C
EAU31898201,124,1216,6.1,0.4,37,294,35,94,8,8~20,C
4681A20172H,124,1806,7,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,1700,7,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,1700,7,0.35,48.8,350,30,104,8,8~20,C
4681A20172S,124,1907,7,0.35,43,320,30,104,8,8~20,C
4681A20172X,124,1907,7,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,2047,7,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,2051,7,0.4,37.2,300,36,104,8,8~20,C
EAU63483801,124,2015,7,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,2015,7,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,1519,8,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,1519,8,0.35,48.8,350,30,104,8,8~20,C
4681A20172Y,124,1861,8,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,1858,8,0.4,37.2,300,36,104,8,8~20,C
EAU62244101,250,1216,8,0.41,20.9,205,30.5,102,8,8~20,C
EAU62244102,250,1216,8,0.41,20.9,205,30.5,102,8,8~20,C
EAU63483801,124,1822,8,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,1822,8,0.35,43,320,30,104,8,8~20,C
EAU31898201,124,1160,8.2,0.4,37,294,35,94,8,8~20,C
EAU39857401,400,2770,8.2,0.62,7.16,175,18,135,8,8~20,C
EAU62903306,195,2434,8.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,2434,8.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,2434,8.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,2434,8.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,2434,8.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,2434,8.2,0.47,20.6,210,41,104,8,8~20,C
4681A20172H,124,1517,9,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,1701,9,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,1698,9,0.4,37.2,300,36,104,8,8~20,C
EAU63483801,124,1668,9,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,1668,9,0.35,43,320,30,104,8,8~20,C
EAU62903306,195,2215,9.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,2215,9.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,2215,9.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,2215,9.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,2215,9.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,2215,9.2,0.47,20.6,210,41,104,8,8~20,C
4681A20172Y,124,1584,10,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,1577,10,0.4,37.2,300,36,104,8,8~20,C
EAU62244101,250,1178,10,0.41,20.9,205,30.5,102,8,8~20,C
EAU62244102,250,1178,10,0.41,20.9,205,30.5,102,8,8~20,C
EAU31898201,124,1120,10.2,0.4,37,294,35,94,8,8~20,C
EAU39857401,400,2503,10.2,0.62,7.16,175,18,135,8,8~20,C
EAU62903306,195,2103,10.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,2103,10.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,2103,10.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,2103,10.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,2103,10.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,2103,10.2,0.47,20.6,210,41,104,8,8~20,C
4681A20172H,124,1326,11,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,1197,11,0.35,48.8,350,30,104,8,8~20,C
4681A20172Q,124,1205,11,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,1197,11,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,1205,11,0.35,48.8,350,30,104,8,8~20,C
4681A20172Z,166,1480,11,0.4,37.2,300,36,104,8,8~20,C
EAU63483801,124,1456,11,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,1456,11,0.35,43,320,30,104,8,8~20,C
EAU62903306,195,1936,11.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1936,11.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1936,11.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1936,11.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1936,11.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1936,11.2,0.47,20.6,210,41,104,8,8~20,C
4681A20172H,124,1246,12,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,1167,12,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,1167,12,0.35,48.8,350,30,104,8,8~20,C
4681A20172Y,124,1397,12,0.35,43,320,30,104,8,8~20,C
EAU62244101,250,1132,12,0.41,20.9,205,30.5,102,8,8~20,C
EAU62244102,250,1132,12,0.41,20.9,205,30.5,102,8,8~20,C
EAU63483801,124,1369,12,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,1369,12,0.35,43,320,30,104,8,8~20,C
EAU31898201,124,1080,12.2,0.4,37,294,35,94,8,8~20,C
EAU62903306,195,1817,12.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1817,12.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1817,12.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1817,12.2,0.47,20.6,210,41,104,8,8~20,C
4681A20172H,124,1180,13,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,1322,13,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,1309,13,0.4,37.2,300,36,104,8,8~20,C
EAU62903306,195,1730,13.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1730,13.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1730,13.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1730,13.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1730,13.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1730,13.3,0.47,20.6,210,41,104,8,8~20,C
4681A20172H,124,1117,14,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,1041,14,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,1041,14,0.35,48.8,350,30,104,8,8~20,C
4681A20172S,124,1188,14,0.35,43,320,30,104,8,8~20,C
4681A20172X,124,1188,14,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,1254,14,0.35,43,320,30,104,8,8~20,C
EAU62244101,250,1098,14,0.41,20.9,205,30.5,102,8,8~20,C
EAU62244102,250,1098,14,0.41,20.9,205,30.5,102,8,8~20,C
EAU63483801,124,1230,14,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,1230,14,0.35,43,320,30,104,8,8~20,C
EAU62903306,195,1637,14.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1637,14.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1637,14.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1637,14.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1637,14.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1637,14.3,0.47,20.6,210,41,104,8,8~20,C
4681A20172H,124,1063,15,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,991,15,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,991,15,0.35,48.8,350,30,104,8,8~20,C
4681A20172S,124,1121,15,0.35,43,320,30,104,8,8~20,C
4681A20172X,124,1121,15,0.35,43,320,30,104,8,8~20,C
EAU39857401,400,2171,15.3,0.62,7.16,175,18,135,8,8~20,C
EAU62903306,195,1536,15.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1536,15.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1536,15.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1536,15.3,0.47,20.6,210,41,104,8,8~20,C
4681A20172H,124,1019,16,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,935,16,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,935,16,0.35,48.8,350,30,104,8,8~20,C
4681A20172S,124,1075,16,0.35,43,320,30,104,8,8~20,C
4681A20172X,124,1075,16,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,1144,16,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,1130,16,0.4,37.2,300,36,104,8,8~20,C
EAU63483801,124,1124,16,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,1124,16,0.35,43,320,30,104,8,8~20,C
EAU62903306,195,1480,16.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1480,16.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1480,16.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1480,16.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1480,16.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1480,16.3,0.47,20.6,210,41,104,8,8~20,C
4681A20172H,124,968,17,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,897,17,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,897,17,0.35,48.8,350,30,104,8,8~20,C
4681A20172S,124,1023,17,0.35,43,320,30,104,8,8~20,C
4681A20172X,124,1023,17,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,1098,17,0.35,43,320,30,104,8,8~20,C
EAU63483801,124,1074,17,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,1074,17,0.35,43,320,30,104,8,8~20,C
EAU62903306,195,1411,17.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1411,17.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1411,17.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1411,17.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1411,17.3,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1411,17.3,0.47,20.6,210,41,104,8,8~20,C
4681A20172H,124,919,18,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,864,18,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,864,18,0.35,48.8,350,30,104,8,8~20,C
4681A20172S,124,984,18,0.35,43,320,30,104,8,8~20,C
4681A20172X,124,984,18,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,1056,18,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,1041,18,0.4,37.2,300,36,104,8,8~20,C
EAU63483801,124,1031,18,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,1031,18,0.35,43,320,30,104,8,8~20,C
EAU31898201,124,976,18.4,0.4,37,294,35,94,8,8~20,C
EAU62903306,195,1356,18.4,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1356,18.4,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1356,18.4,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1356,18.4,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1356,18.4,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1356,18.4,0.47,20.6,210,41,104,8,8~20,C
4681A20172H,124,825,19,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,831,19,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,831,19,0.35,48.8,350,30,104,8,8~20,C
4681A20172S,124,931,19,0.35,43,320,30,104,8,8~20,C
4681A20172X,124,931,19,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,1011,19,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,1001,19,0.4,37.2,300,36,104,8,8~20,C
EAU63483801,124,983,19,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,983,19,0.35,43,320,30,104,8,8~20,C
EAU62903306,195,1286,19.4,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1286,19.4,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,1286,19.4,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1286,19.4,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1286,19.4,0.47,20.6,210,41,104,8,8~20,C
EAU62903307,195,1286,19.4,0.47,20.6,210,41,104,8,8~20,C
4681A20172Q,124,803,20,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,803,20,0.35,48.8,350,30,104,8,8~20,C
4681A20172Y,124,961,20,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,961,20,0.4,37.2,300,36,104,8,8~20,C
EAU62244101,250,990,20,0.41,20.9,205,30.5,102,8,8~20,C
EAU62244102,250,990,20,0.41,20.9,205,30.5,102,8,8~20,C
EAU63483801,124,891,20,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,891,20,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,891,22,0.4,37.2,300,36,104,8,8~20,C
4681A20172Z,166,843,23,0.4,37.2,300,36,104,8,8~20,C
EAU39857401,400,1882,25.5,0.62,7.16,175,18,135,8,8~20,C
EAU39857401,400,1692,30.6,0.62,7.16,175,18,135,8,8~20,C
EAU39857401,400,1568,35.7,0.62,7.16,175,18,135,8,8~20,C
EAU39857401,400,1400,38.8,0.62,7.16,175,18,135,8,8~20,C
EAU39857401,400,1200,40.8,0.62,7.16,175,18,135,8,8~20,C
EAU37067114,400,1600,21.8,0.9,5.48,144,60,130,6,24~42,D
EAU37067103,350,1600,24.7,0.9,5.25,138,60,130,6,24~42,D
EAU37067108,350,1600,24.7,0.9,5.25,138,60,130,6,24~42,D
EAU37067114,400,1400,25.8,0.9,5.48,144,60,130,6,24~42,D
EAU37067118,400,1600,25.8,0.85,7.6,180,60,130,6,24~42,D
EAU37067103,350,1400,29.2,0.9,5.25,138,60,130,6,24~42,D
EAU37067108,350,1400,29.2,0.9,5.25,138,60,130,6,24~42,D
EAU37067120,500,1600,29.9,0.85,7.6,180,60,130,6,24~42,D
EAU37067118,400,1400,30.7,0.85,7.6,180,60,130,6,24~42,D
EAU37067103,350,1300,31.9,0.9,5.25,138,60,130,6,24~42,D
EAU37067108,350,1300,31.9,0.9,5.25,138,60,130,6,24~42,D
EAU37067114,400,1200,31.9,0.9,5.48,144,60,130,6,24~42,D
EAU37067118,400,1300,33.5,0.85,7.6,180,60,130,6,24~42,D
EAU37067103,350,1200,34.7,0.9,5.25,138,60,130,6,24~42,D
EAU37067108,350,1200,34.7,0.9,5.25,138,60,130,6,24~42,D
EAU37067120,500,1400,35.3,0.85,7.6,180,60,130,6,24~42,D
EAU37067103,350,1100,35.7,0.9,5.25,138,60,130,6,24~42,D
EAU37067108,350,1100,35.7,0.9,5.25,138,60,130,6,24~42,D
EAU37067103,350,1000,36.7,0.9,5.25,138,60,130,6,24~42,D
EAU37067108,350,1000,36.7,0.9,5.25,138,60,130,6,24~42,D
EAU37067118,400,1200,37,0.85,7.6,180,60,130,6,24~42,D
EAU37067103,350,900,38.8,0.9,5.25,138,60,130,6,24~42,D
EAU37067108,350,900,38.8,0.9,5.25,138,60,130,6,24~42,D
EAU37067120,500,1300,38.8,0.85,7.6,180,60,130,6,24~42,D
EAU37067103,350,800,40.2,0.9,5.25,138,60,130,6,24~42,D
EAU37067108,350,800,40.2,0.9,5.25,138,60,130,6,24~42,D
EAU37067103,350,700,41,0.9,5.25,138,60,130,6,24~42,D
EAU37067108,350,700,41,0.9,5.25,138,60,130,6,24~42,D
EAU37067103,350,600,41.4,0.9,5.25,138,60,130,6,24~42,D
EAU37067108,350,600,41.4,0.9,5.25,138,60,130,6,24~42,D
EAU37067118,400,1100,41.6,0.85,7.6,180,60,130,6,24~42,D
EAU37067114,400,1000,41.9,0.9,5.48,144,60,130,6,24~42,D
EAU37067120,500,1200,42.9,0.85,7.6,180,60,130,6,24~42,D
EAU37067118,400,1000,44.3,0.85,7.6,180,60,130,6,24~42,D
EAU37067120,500,1100,46.9,0.85,7.6,180,60,130,6,24~42,D
EAU37067120,500,1000,48,0.85,7.6,180,60,130,6,24~42,D
EAU37067118,400,800,49,0.85,7.6,180,60,130,6,24~42,D
EAU37067120,500,800,50,0.85,7.6,180,60,130,6,24~42,D
EAU37067118,400,600,52.7,0.85,7.6,180,60,130,6,24~42,D
EAU37067120,500,700,53.2,0.85,7.6,180,60,130,6,24~42,D
EAU37067114,400,800,53.6,0.9,5.48,144,60,130,6,24~42,D
EAU37067120,500,600,54.5,0.85,7.6,180,60,130,6,24~42,D
EAU62843015,40,3186,0,0.28,35.6,580,11,94,8,1~4,E
EAU62843015,40,3125,0.1,0.28,35.6,580,11,94,8,1~4,E
EAU62843008,30,2633,0.2,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,2633,0.2,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,2633,0.2,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,3065,0.2,0.28,35.6,580,11,94,8,1~4,E
EAU62983001,30,2633,0.2,0.22,37,550,13,88,8,1~4,E
EAU62983003,30,2633,0.2,0.22,37,550,13,88,8,1~4,E
EAU60663101,60,2180,0.3,0.25,107.8,670,13,87,8,1~4,E
EAU62843015,40,3005,0.3,0.28,35.6,580,11,94,8,1~4,E
EAU62843008,30,2539,0.4,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,2539,0.4,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,2539,0.4,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2947,0.4,0.28,35.6,580,11,94,8,1~4,E
EAU62983001,30,2539,0.4,0.22,37,550,13,88,8,1~4,E
EAU62983003,30,2539,0.4,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2889,0.5,0.28,35.6,580,11,94,8,1~4,E
EAU60663101,60,2060,0.6,0.25,107.8,670,13,87,8,1~4,E
EAU62843008,30,2439,0.6,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,2439,0.6,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,2439,0.6,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2831,0.6,0.28,35.6,580,11,94,8,1~4,E
EAU62983001,30,2439,0.6,0.22,37,550,13,88,8,1~4,E
EAU62983003,30,2439,0.6,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2775,0.7,0.28,35.6,580,11,94,8,1~4,E
EAU62843008,30,2354,0.8,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,2354,0.8,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,2354,0.8,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2719,0.8,0.28,35.6,580,11,94,8,1~4,E
EAU62983001,30,2354,0.8,0.22,37,550,13,88,8,1~4,E
EAU62983003,30,2354,0.8,0.22,37,550,13,88,8,1~4,E
EAU60663101,60,1950,0.9,0.25,107.8,670,13,87,8,1~4,E
EAU62843008,30,2269,1,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,2269,1,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,2269,1,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2610,1,0.28,35.6,580,11,94,8,1~4,E
EAU62983001,30,2269,1,0.22,37,550,13,88,8,1~4,E
EAU62983003,30,2269,1,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2557,1.1,0.28,35.6,580,11,94,8,1~4,E
EAU60663101,60,1853,1.2,0.25,107.8,670,13,87,8,1~4,E
EAU62843008,30,2201,1.2,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,2201,1.2,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,2201,1.2,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2504,1.2,0.28,35.6,580,11,94,8,1~4,E
EAU62983001,30,2201,1.2,0.22,37,550,13,88,8,1~4,E
EAU62983003,30,2201,1.2,0.22,37,550,13,88,8,1~4,E
EAU62843008,30,2133,1.4,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,2133,1.4,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,2133,1.4,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2401,1.4,0.28,35.6,580,11,94,8,1~4,E
EAU62983001,30,2133,1.4,0.22,37,550,13,88,8,1~4,E
EAU62983003,30,2133,1.4,0.22,37,550,13,88,8,1~4,E
EAU60663101,60,1780,1.5,0.25,107.8,670,13,87,8,1~4,E
EAU62843015,40,2351,1.5,0.28,35.6,580,11,94,8,1~4,E
EAU62843008,30,2065,1.6,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,2065,1.6,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,2065,1.6,0.22,37,550,13,88,8,1~4,E
EAU60663101,60,1707,1.8,0.25,107.8,670,13,87,8,1~4,E
EAU62843008,30,2005,1.8,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,2005,1.8,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,2005,1.8,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2204,1.8,0.28,35.6,580,11,94,8,1~4,E
EAU62983001,30,2005,1.8,0.22,37,550,13,88,8,1~4,E
EAU62983003,30,2005,1.8,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2157,1.9,0.28,35.6,580,11,94,8,1~4,E
EAU62843008,30,1941,2,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,1941,2,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,1941,2,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2110,2,0.28,35.6,580,11,94,8,1~4,E
EAU60663101,60,1638,2.1,0.25,107.8,670,13,87,8,1~4,E
EAU62843015,40,2065,2.1,0.28,35.6,580,11,94,8,1~4,E
EAU62843008,30,1886,2.2,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,1886,2.2,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,1886,2.2,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,2019,2.2,0.28,35.6,580,11,94,8,1~4,E
EAU62843015,40,1975,2.3,0.28,35.6,580,11,94,8,1~4,E
EAU62843008,30,1833,2.4,0.22,37,550,13,88,8,1~4,E
EAU62843009,30,1833,2.4,0.22,37,550,13,88,8,1~4,E
EAU62843011,30,1833,2.4,0.22,37,550,13,88,8,1~4,E
EAU62843015,40,1932,2.4,0.28,35.6,580,11,94,8,1~4,E
EAU62983001,30,1833,2.4,0.22,37,550,13,88,8,1~4,E
